protocol,connection_time,latency_avg,latency_min,latency_max,latency_mdev,packet_loss,jitter,throughput,file_transfer_time,cpu_usage_h1,mem_usage_h1,cpu_usage_h2,mem_usage_h2
L2TP,3.210655689239502,76.685,61.5,130.0,17.1804038078271,0.0,15.547368421052633,,0.13987350463867188,0.2,46.54,0.5,46.54
PPTP,3.2710721492767334,73.015,62.5,112.0,12.691307064286168,0.0,10.299999999999999,,0.16427111625671387,0.5,46.49,0.0,46.49
L2TP,4.3928070068359375,68.21000000000001,62.2,104.0,10.362668575227135,0.0,9.305263157894737,,0.1545403003692627,0.2,46.52,0.2,46.52
PPTP,4.452688932418823,70.055,61.5,98.8,9.562921886118279,0.0,10.647368421052633,,0.13013458251953125,0.0,45.78,0.2,45.78
L2TP,3.898376941680908,76.32000000000001,62.3,127.0,16.846323040948725,0.0,14.610526315789475,,0.1750955581665039,0.4,45.78,0.2,45.76
PPTP,4.108964443206787,89.16,61.5,184.0,34.71961117293799,0.0,24.973684210526315,,0.17407941818237305,0.4,45.81,0.0,45.83
L2TP,3.150381088256836,80.74,62.5,122.0,15.012541423756339,0.0,15.242105263157896,,0.1408405303955078,0.2,45.83,0.2,45.83
PPTP,4.986507892608643,69.985,62.5,90.8,9.63806386158548,0.0,7.447368421052632,,0.12910199165344238,0.4,45.76,0.2,45.76
L2TP,3.037822723388672,69.26000000000002,62.5,94.7,9.285063273882415,0.0,9.284210526315789,,0.15257620811462402,0.2,45.73,0.2,45.76
PPTP,3.22690486907959,90.23499999999999,61.8,179.0,26.865075376778673,0.0,32.173684210526325,,0.14282584190368652,0.0,45.76,0.5,45.76
L2TP,3.1212387084960938,72.88000000000001,60.8,115.0,14.285188133167864,0.0,11.794736842105264,,0.16235923767089844,0.4,45.78,0.0,45.78
PPTP,4.285095691680908,76.06500000000001,60.9,131.0,17.779377801261774,0.0,10.278947368421054,,0.14381051063537598,0.3,45.76,0.4,45.78
L2TP,4.4617087841033936,78.7,62.4,135.0,17.53025955312699,0.0,18.900000000000002,,0.1467149257659912,0.5,45.78,1.0,45.78
PPTP,3.9928572177886963,78.33000000000001,62.4,153.0,25.09862745251222,0.0,17.484210526315792,,0.1476447582244873,0.2,45.78,0.2,45.81
